week,name,position,opp,passing_yds,passing_tds,passing_int,rushing_att,rushing_yds,rushing_tds,receiving_tgt,receiving_rec,receiving_yds,receiving_tds,return_tds,twopt,fumbles,points
1,Nick Foles,Phi - QB,Final (W) 34-17            vs  Jax,0.0,0.0,0.0,14.5,0.3,0.0,234,2.0,0.5,3.8,0.0,0.1,0.3,20.28
1,Jake Locker,Ten - QB,Final (W) 26-10            @  KC,0.0,0.0,0.0,18.3,0.0,0.0,271,1.5,1.1,2.7,0.0,0.0,0.4,17.57
1,Carson Palmer,Ari - QB,Final (W) 18-17            vs  SD,0.0,0.0,0.0,3.2,0.1,0.0,284,1.5,1.2,1.4,0.0,0.0,0.3,16.48
1,EJ Manuel,Buf - QB,Final (W) 23-20            @  Chi,0.0,0.0,0.0,15.9,0.2,0.0,251,1.2,1.1,4.1,0.0,0.0,0.4,16.40
1,Shaun Hill,StL - QB,Final (L) 34-6            vs  Min,0.0,0.0,0.0,10.5,0.1,0.0,260,1.3,0.8,2.1,0.0,0.0,0.3,15.95
1,Geno Smith,NYJ - QB,Final (W) 19-14            vs  Oak,0.0,0.0,0.0,20.7,0.2,0.0,211,1.2,0.8,4.1,0.0,0.0,0.3,16.33
1,Doug Martin,TB - RB,Final (L) 20-14            vs  Car,2.9,27.6,0.1,69.6,0.3,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.1,18.39
1,Zac Stacy,StL - RB,Final (L) 34-6            vs  Min,2.6,21.9,0.1,59.1,0.5,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.1,16.92
1,Chad Henne,Jax - QB,Final (L) 34-17            @  Phi,0.0,0.0,0.0,5.9,0.1,0.0,271,1.1,1.1,2.0,0.0,0.0,0.3,15.07
1,Jonathan Dwyer,Ari - RB,Final (W) 18-17            vs  SD,2.2,19.3,0.1,65.2,0.4,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.1,16.45
1,Matt Cassel,Min - QB,Final (W) 34-6            @  StL,0.0,0.0,0.0,11.1,0.0,0.0,224,1.3,0.7,2.7,0.0,0.0,0.3,14.86
1,Stevan Ridley,NE - RB,Final (L) 33-20            @  Mia,0.6,4.7,0.0,67.6,0.6,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.2,14.53
1,C.J. Spiller,Buf - RB,Final (W) 23-20            @  Chi,2.7,21.3,0.0,67.7,0.3,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.2,15.93
1,Derek Anderson,Car - QB,Final (W) 20-14            @  TB,0.0,0.0,0.0,4.9,0.1,0.0,248,1.1,0.9,2.0,0.0,0.0,0.4,14.02
1,Derek Carr,Oak - QB,Final (L) 19-14            @  NYJ,0.0,0.0,0.0,6.8,0.0,0.0,238,1.2,1.1,1.9,0.0,0.0,0.3,13.78
1,Victor Cruz,NYG - WR,Final (L) 35-14            @  Det,5.5,74.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,14.96
1,Chris Johnson,NYJ - RB,Final (W) 19-14            vs  Oak,2.0,16.1,0.1,57.5,0.4,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.1,14.47
1,Knowshon Moreno,Mia - RB,Final (W) 33-20            vs  NE,2.1,18.4,0.0,48.7,0.4,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.1,13.45
1,Brandin Cooks,NO - WR,Final (L) 37-34            @  Atl,4.3,55.9,0.4,1.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.42
1,Dennis Pitta,Bal - TE,Final (L) 23-16            vs  Cin,4.2,47.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78
1,Vernon Davis,SF - TE,Final (W) 28-17            @  Dal,2.6,37.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18
1,Shonn Greene,Ten - RB,Final (W) 26-10            @  KC,0.8,6.6,0.0,50.5,0.4,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.1,11.45
1,Maurice Jones-Drew,Oak - RB,Final (L) 19-14            @  NYJ,1.7,14.2,0.0,44.7,0.4,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.1,12.22
1,Danny Woodhead,SD - RB,Final (L) 18-17            @  Ari,3.4,30.4,0.2,25.1,0.2,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.1,12.27
1,Marqise Lee,Jax - WR,Final (L) 34-17            @  Phi,5.1,60.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26
1,Donnie Avery,KC - WR,Final (L) 26-10            vs  Ten,4.0,54.4,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.97
1,Riley Cooper,Phi - WR,Final (W) 34-17            vs  Jax,3.0,44.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92
1,Levine Toilolo,Atl - TE,Final (W) 37-34            vs  NO,3.1,34.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26
1,Jarrett Boykin,GB - WR,Final (L) 36-16            @  Sea,3.7,47.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08
1,Richard Rodgers,GB - TE,Final (L) 36-16            @  Sea,2.9,33.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81
1,Ryan Griffin,Hou - TE,Final (W) 17-6            vs  Was,3.2,35.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01
1,Eric Ebron,Det - TE,Final (W) 35-14            vs  NYG,2.6,31.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29
1,Scott Chandler,Buf - TE,Final (W) 23-20            @  Chi,3.1,36.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
1,Brian Quick,StL - WR,Final (L) 34-6            vs  Min,3.3,44.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37
1,Tyler Eifert,Cin - TE,Final (W) 23-16            @  Bal,2.6,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12
1,Mike Williams,Buf - WR,Final (W) 23-20            @  Chi,3.3,43.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11
1,Rod Streater,Oak - WR,Final (L) 19-14            @  NYJ,3.4,45.6,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,9.18
1,Jerrel Jernigan,NYG - WR,Final (L) 35-14            @  Det,3.5,45.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.19
1,Frankie Hammond Jr.,KC - WR,Final (L) 26-10            vs  Ten,3.0,40.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47
1,C.J. Fiedorowicz,Hou - TE,Final (W) 17-6            vs  Was,2.6,28.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56
1,Stepfan Taylor,Ari - RB,Final (W) 18-17            vs  SD,1.4,11.5,0.0,30.3,0.2,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1,8.67
1,Jeremy Kerley,NYJ - WR,Final (W) 19-14            vs  Oak,3.2,38.9,0.2,1.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,8.46
1,Zach Miller,Sea - TE,Final (W) 36-16            vs  GB,2.1,23.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80
1,Carlos Hyde,SF - RB,Final (W) 28-17            @  Dal,0.4,3.2,0.0,31.5,0.3,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.1,7.25
1,Jonathan Stewart,Car - RB,Final (W) 20-14            @  TB,1.0,8.2,0.0,34.5,0.2,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1,8.08
1,Dexter McCluster,Ten - RB,Final (W) 26-10            @  KC,2.8,30.2,0.1,12.2,0.1,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,8.86
1,Mike Brown,Jax - WR,Final (L) 34-17            @  Phi,3.0,40.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98
1,Lance Dunbar,Dal - RB,Final (L) 28-17            vs  SF,1.8,17.0,0.1,24.8,0.1,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.1,8.28
1,John Carlson,Ari - TE,Final (W) 18-17            vs  SD,2.4,26.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88
1,Andre Caldwell,Den - WR,Final (W) 31-24            vs  Ind,2.2,31.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01
